RSSI-Value,MAC-Address,Timestamp,Distance
-33,E0:EA:73:3C:63:02,2024-11-30 15:27:00,0
-18,E8:9B:11:7B:D7:0F,2024-11-30 15:27:00,0
-23,D1:EE:48:99:9E:08,2024-11-30 15:27:01,0
-18,D9:7C:E2:5D:4B:A2,2024-11-30 15:27:01,0
-24,E7:8C:00:9C:55:50,2024-11-30 15:27:02,0
-30,E0:EA:73:3C:63:02,2024-11-30 15:27:02,0
-20,DE:4A:54:FD:8E:85,2024-11-30 15:27:03,0
-22,DC:FB:FD:B9:DF:CA,2024-11-30 15:27:03,0
-17,F5:D8:58:74:5F:29,2024-11-30 15:27:03,0
-21,E0:BC:5B:2B:59:29,2024-11-30 15:27:03,0
-25,E0:CE:45:2B:3E:B8,2024-11-30 15:27:04,0
-21,E7:8C:00:9C:55:50,2024-11-30 15:27:04,0
-20,EB:A1:FF:D8:65:FE,2024-11-30 15:27:04,0
-19,E8:9B:11:7B:D7:0F,2024-11-30 15:27:04,0
-22,D1:EE:48:99:9E:08,2024-11-30 15:27:05,0
-19,F5:D8:58:74:5F:29,2024-11-30 15:27:05,0
-23,E0:BC:5B:2B:59:29,2024-11-30 15:27:05,0
-18,D9:7C:E2:5D:4B:A2,2024-11-30 15:27:05,0
-21,DE:4A:54:FD:8E:85,2024-11-30 15:27:07,0
-34,E0:EA:73:3C:63:02,2024-11-30 15:27:08,0
-18,E8:9B:11:7B:D7:0F,2024-11-30 15:27:08,0
-23,D1:EE:48:99:9E:08,2024-11-30 15:27:09,0
-20,E0:BC:5B:2B:59:29,2024-11-30 15:27:09,0
-17,F5:D8:58:74:5F:29,2024-11-30 15:27:09,0
-18,D9:7C:E2:5D:4B:A2,2024-11-30 15:27:09,0
-25,E0:CE:45:2B:3E:B8,2024-11-30 15:27:10,0
-21,E7:8C:00:9C:55:50,2024-11-30 15:27:10,0
-20,EB:A1:FF:D8:65:FE,2024-11-30 15:27:10,0
-20,DE:4A:54:FD:8E:85,2024-11-30 15:27:11,0
-22,E7:8C:00:9C:55:50,2024-11-30 15:27:12,0
-20,EB:A1:FF:D8:65:FE,2024-11-30 15:27:12,0
-34,E0:EA:73:3C:63:02,2024-11-30 15:27:12,0
-21,DE:4A:54:FD:8E:85,2024-11-30 15:27:13,0
-24,E7:8C:00:9C:55:50,2024-11-30 15:27:14,0
-24,EB:A1:FF:D8:65:FE,2024-11-30 15:27:14,0
-30,E0:EA:73:3C:63:02,2024-11-30 15:27:14,0
-18,E8:9B:11:7B:D7:0F,2024-11-30 15:27:14,0
-26,D1:EE:48:99:9E:08,2024-11-30 15:27:15,0
-23,DC:FB:FD:B9:DF:CA,2024-11-30 15:27:15,0
-21,E0:BC:5B:2B:59:29,2024-11-30 15:27:15,0
-17,F5:D8:58:74:5F:29,2024-11-30 15:27:15,0
-21,D9:7C:E2:5D:4B:A2,2024-11-30 15:27:15,0
-22,E0:CE:45:2B:3E:B8,2024-11-30 15:27:16,0
-19,E8:9B:11:7B:D7:0F,2024-11-30 15:27:16,0
-22,E7:8C:00:9C:55:50,2024-11-30 15:27:18,0
-20,EB:A1:FF:D8:65:FE,2024-11-30 15:27:18,0
-34,E0:EA:73:3C:63:02,2024-11-30 15:27:18,0
-18,E8:9B:11:7B:D7:0F,2024-11-30 15:27:18,0
-20,DE:4A:54:FD:8E:85,2024-11-30 15:27:19,0
-22,DC:FB:FD:B9:DF:CA,2024-11-30 15:27:19,0
-21,E0:BC:5B:2B:59:29,2024-11-30 15:27:19,0
-17,F5:D8:58:74:5F:29,2024-11-30 15:27:19,0
-18,D9:7C:E2:5D:4B:A2,2024-11-30 15:27:19,0
-25,E0:CE:45:2B:3E:B8,2024-11-30 15:27:20,0
-20,DE:4A:54:FD:8E:85,2024-11-30 15:27:21,0
-23,DC:FB:FD:B9:DF:CA,2024-11-30 15:27:21,0
-21,E0:BC:5B:2B:59:29,2024-11-30 15:27:21,0
-17,F5:D8:58:74:5F:29,2024-11-30 15:27:21,0
-21,E7:8C:00:9C:55:50,2024-11-30 15:27:22,0
-19,EB:A1:FF:D8:65:FE,2024-11-30 15:27:22,0
-30,E0:EA:73:3C:63:02,2024-11-30 15:27:22,0
-19,E8:9B:11:7B:D7:0F,2024-11-30 15:27:23,0
-22,D1:EE:48:99:9E:08,2024-11-30 15:27:23,0
-23,E0:CE:45:2B:3E:B8,2024-11-30 15:27:24,0
-20,DE:4A:54:FD:8E:85,2024-11-30 15:27:25,0
-22,DC:FB:FD:B9:DF:CA,2024-11-30 15:27:25,0
-20,E0:BC:5B:2B:59:29,2024-11-30 15:27:25,0
-17,F5:D8:58:74:5F:29,2024-11-30 15:27:25,0
-21,D9:7C:E2:5D:4B:A2,2024-11-30 15:27:25,0
-21,E7:8C:00:9C:55:50,2024-11-30 15:27:26,0
-19,EB:A1:FF:D8:65:FE,2024-11-30 15:27:26,0
